id	name	test1	test2	test3
59	消灭52300个敌人	1,52300	-1,2,-32	1,1;2,31
60	消灭53200个敌人	1,53200	1,2,3,33	1,1;2,2;3,32
61	消灭54100个敌人	1,54100	-1,2,-33	1,1;2,32
62	消灭55000个敌人	1,55000	1,2,3,34	1,1;2,2;3,33
63	消灭55900个敌人	1,55900	-1,2,-34	1,1;2,33
64	消灭56800个敌人	1,56800	1,2,3,35	1,1;2,2;3,34
65	消灭57700个敌人	1,57700	-1,2,-35	1,1;2,34
66	消灭58600个敌人	1,58600	1,2,3,36	1,1;2,2;3,35
67	消灭59500个敌人	1,59500	-1,2,-36	1,1;2,35
68	消灭60400个敌人	1,60400	1,2,3,37	1,1;2,2;3,36
69	消灭61300个敌人	1,61300	-1,2,-37	1,1;2,36
70	消灭62200个敌人	1,62200	1,2,3,38	1,1;2,2;3,37
71	消灭63100个敌人	1,63100	-1,2,-38	1,1;2,37
72	消灭64000个敌人	1,64000	1,2,3,39	1,1;2,2;3,38
73	消灭64900个敌人	1,64900	-1,2,-39	1,1;2,38
74	消灭65800个敌人	1,65800	1,2,3,40	1,1;2,2;3,39
75	消灭66700个敌人	1,66700	-1,2,-40	1,1;2,39
76	消灭67600个敌人	1,67600	1,2,3,41	1,1;2,2;3,40
77	消灭68500个敌人	1,68500	-1,2,-41	1,1;2,40
78	消灭69400个敌人	1,69400	1,2,3,42	1,1;2,2;3,41
79	消灭70300个敌人	1,70300	-1,2,-42	1,1;2,41
80	消灭71200个敌人	1,71200	1,2,3,43	1,1;2,2;3,42
81	消灭72100个敌人	1,72100	-1,2,-43	1,1;2,42
82	消灭73000个敌人	1,73000	1,2,3,44	1,1;2,2;3,43
83	消灭73900个敌人	1,73900	-1,2,-44	1,1;2,43
84	消灭74800个敌人	1,74800	1,2,3,45	1,1;2,2;3,44
85	消灭75700个敌人	1,75700	-1,2,-45	1,1;2,44
86	消灭76600个敌人	1,76600	1,2,3,46	1,1;2,2;3,45
87	消灭77500个敌人	1,77500	-1,2,-46	1,1;2,45
88	消灭78400个敌人	1,78400	1,2,3,47	1,1;2,2;3,46
89	消灭79300个敌人	1,79300	-1,2,-47	1,1;2,46
90	消灭80200个敌人	1,80200	1,2,3,48	1,1;2,2;3,47
91	消灭81100个敌人	1,81100	-1,2,-48	1,1;2,47
92	消灭82000个敌人	1,82000	1,2,3,49	1,1;2,2;3,48
93	消灭82900个敌人	1,82900	-1,2,-49	1,1;2,48
94	消灭83800个敌人	1,83800	1,2,3,50	1,1;2,2;3,49
95	消灭84700个敌人	1,84700	-1,2,-50	1,1;2,49
96	消灭85600个敌人	1,85600	1,2,3,51	1,1;2,2;3,50
97	消灭86500个敌人	1,86500	-1,2,-51	1,1;2,50
98	消灭87400个敌人	1,87400	1,2,3,52	1,1;2,2;3,51
99	消灭88300个敌人	1,88300	-1,2,-52	1,1;2,51
100	消灭89200个敌人	1,89200	1,2,3,53	1,1;2,2;3,52
101	消灭90100个敌人	1,90100	-1,2,-53	1,1;2,52
102	消灭91000个敌人	1,91000	1,2,3,54	1,1;2,2;3,53
103	消灭91900个敌人	1,91900	-1,2,-54	1,1;2,53
104	消灭92800个敌人	1,92800	1,2,3,55	1,1;2,2;3,54
105	消灭93700个敌人	1,93700	-1,2,-55	1,1;2,54
106	消灭94600个敌人	1,94600	1,2,3,56	1,1;2,2;3,55
107	消灭95500个敌人	1,95500	-1,2,-56	1,1;2,55
108	消灭96400个敌人	1,96400	1,2,3,57	1,1;2,2;3,56
109	消灭97300个敌人	1,97300	-1,2,-57	1,1;2,56
110	消灭98200个敌人	1,98200	1,2,3,58	1,1;2,2;3,57
111	消灭99100个敌人	1,99100	-1,2,-58	1,1;2,57
112	消灭100000个敌人	1,100000	1,2,3,59	1,1;2,2;3,58
113	消灭100900个敌人	1,100900	-1,2,-59	1,1;2,58
114	消灭101800个敌人	1,101800	1,2,3,60	1,1;2,2;3,59
115	消灭102700个敌人	1,102700	-1,2,-60	1,1;2,59
116	消灭103600个敌人	1,103600	1,2,3,61	1,1;2,2;3,60
117	消灭104500个敌人	1,104500	-1,2,-61	1,1;2,60
118	消灭105400个敌人	1,105400	1,2,3,62	1,1;2,2;3,61
119	消灭106300个敌人	1,106300	-1,2,-62	1,1;2,61
120	消灭107200个敌人	1,107200	1,2,3,63	1,1;2,2;3,62
121	消灭108100个敌人	1,108100	-1,2,-63	1,1;2,62
122	消灭109000个敌人	1,109000	1,2,3,64	1,1;2,2;3,63
123	消灭109900个敌人	1,109900	-1,2,-64	1,1;2,63
124	消灭110800个敌人	1,110800	1,2,3,65	1,1;2,2;3,64
125	消灭111700个敌人	1,111700	-1,2,-65	1,1;2,64
126	消灭112600个敌人	1,112600	1,2,3,66	1,1;2,2;3,65
127	消灭113500个敌人	1,113500	-1,2,-66	1,1;2,65
128	消灭114400个敌人	1,114400	1,2,3,67	1,1;2,2;3,66
129	消灭115300个敌人	1,115300	-1,2,-67	1,1;2,66
130	消灭116200个敌人	1,116200	1,2,3,68	1,1;2,2;3,67
131	消灭117100个敌人	1,117100	-1,2,-68	1,1;2,67
132	消灭118000个敌人	1,118000	1,2,3,69	1,1;2,2;3,68
133	消灭118900个敌人	1,118900	-1,2,-69	1,1;2,68
134	消灭119800个敌人	1,119800	1,2,3,70	1,1;2,2;3,69
135	消灭120700个敌人	1,120700	-1,2,-70	1,1;2,69
136	消灭121600个敌人	1,121600	1,2,3,71	1,1;2,2;3,70
137	消灭122500个敌人	1,122500	-1,2,-71	1,1;2,70
138	消灭123400个敌人	1,123400	1,2,3,72	1,1;2,2;3,71
139	消灭124300个敌人	1,124300	-1,2,-72	1,1;2,71
140	消灭125200个敌人	1,125200	1,2,3,73	1,1;2,2;3,72
141	消灭126100个敌人	1,126100	-1,2,-73	1,1;2,72
142	消灭127000个敌人	1,127000	1,2,3,74	1,1;2,2;3,73
143	消灭127900个敌人	1,127900	-1,2,-74	1,1;2,73
144	消灭128800个敌人	1,128800	1,2,3,75	1,1;2,2;3,74
145	消灭129700个敌人	1,129700	-1,2,-75	1,1;2,74
146	消灭130600个敌人	1,130600	1,2,3,76	1,1;2,2;3,75
147	消灭131500个敌人	1,131500	-1,2,-76	1,1;2,75
148	消灭132400个敌人	1,132400	1,2,3,77	1,1;2,2;3,76
149	消灭133300个敌人	1,133300	-1,2,-77	1,1;2,76
150	消灭134200个敌人	1,134200	1,2,3,78	1,1;2,2;3,77
151	消灭135100个敌人	1,135100	-1,2,-78	1,1;2,77
152	消灭136000个敌人	1,136000	1,2,3,79	1,1;2,2;3,78
153	消灭136900个敌人	1,136900	-1,2,-79	1,1;2,78
154	消灭137800个敌人	1,137800	1,2,3,80	1,1;2,2;3,79
155	消灭138700个敌人	1,138700	-1,2,-80	1,1;2,79
156	消灭139600个敌人	1,139600	1,2,3,81	1,1;2,2;3,80
157	消灭140500个敌人	1,140500	-1,2,-81	1,1;2,80
158	消灭141400个敌人	1,141400	1,2,3,82	1,1;2,2;3,81
159	消灭142300个敌人	1,142300	-1,2,-82	1,1;2,81
160	消灭143200个敌人	1,143200	1,2,3,83	1,1;2,2;3,82
161	消灭144100个敌人	1,144100	-1,2,-83	1,1;2,82
162	消灭145000个敌人	1,145000	1,2,3,84	1,1;2,2;3,83
163	消灭145900个敌人	1,145900	-1,2,-84	1,1;2,83
164	消灭146800个敌人	1,146800	1,2,3,85	1,1;2,2;3,84
165	消灭147700个敌人	1,147700	-1,2,-85	1,1;2,84
166	消灭148600个敌人	1,148600	1,2,3,86	1,1;2,2;3,85
167	消灭149500个敌人	1,149500	-1,2,-86	1,1;2,85
168	消灭150400个敌人	1,150400	1,2,3,87	1,1;2,2;3,86
169	消灭151300个敌人	1,151300	-1,2,-87	1,1;2,86
170	消灭152200个敌人	1,152200	1,2,3,88	1,1;2,2;3,87
171	消灭153100个敌人	1,153100	-1,2,-88	1,1;2,87
172	消灭154000个敌人	1,154000	1,2,3,89	1,1;2,2;3,88
173	消灭154900个敌人	1,154900	-1,2,-89	1,1;2,88
174	消灭155800个敌人	1,155800	1,2,3,90	1,1;2,2;3,89
175	消灭156700个敌人	1,156700	-1,2,-90	1,1;2,89
176	消灭157600个敌人	1,157600	1,2,3,91	1,1;2,2;3,90
177	消灭158500个敌人	1,158500	-1,2,-91	1,1;2,90
178	消灭159400个敌人	1,159400	1,2,3,92	1,1;2,2;3,91
179	消灭160300个敌人	1,160300	-1,2,-92	1,1;2,91
180	消灭161200个敌人	1,161200	1,2,3,93	1,1;2,2;3,92
181	消灭162100个敌人	1,162100	-1,2,-93	1,1;2,92
182	消灭163000个敌人	1,163000	1,2,3,94	1,1;2,2;3,93
183	消灭163900个敌人	1,163900	-1,2,-94	1,1;2,93
184	消灭164800个敌人	1,164800	1,2,3,95	1,1;2,2;3,94
185	消灭165700个敌人	1,165700	-1,2,-95	1,1;2,94
186	消灭166600个敌人	1,166600	1,2,3,96	1,1;2,2;3,95
187	消灭167500个敌人	1,167500	-1,2,-96	1,1;2,95
188	消灭168400个敌人	1,168400	1,2,3,97	1,1;2,2;3,96
189	消灭169300个敌人	1,169300	-1,2,-97	1,1;2,96
190	消灭170200个敌人	1,170200	1,2,3,98	1,1;2,2;3,97
191	消灭171100个敌人	1,171100	-1,2,-98	1,1;2,97
192	消灭172000个敌人	1,172000	1,2,3,99	1,1;2,2;3,98
193	消灭172900个敌人	1,172900	-1,2,-99	1,1;2,98
194	消灭173800个敌人	1,173800	1,2,3,100	1,1;2,2;3,99
195	消灭174700个敌人	1,174700	-1,2,-100	1,1;2,99
196	消灭175600个敌人	1,175600	1,2,3,101	1,1;2,2;3,100
197	消灭176500个敌人	1,176500	-1,2,-101	1,1;2,100
198	消灭177400个敌人	1,177400	1,2,3,102	1,1;2,2;3,101
199	消灭178300个敌人	1,178300	-1,2,-102	1,1;2,101
200	消灭179200个敌人	1,179200	1,2,3,103	1,1;2,2;3,102
201	消灭180100个敌人	1,180100	-1,2,-103	1,1;2,102
202	消灭181000个敌人	1,181000	1,2,3,104	1,1;2,2;3,103
203	消灭181900个敌人	1,181900	-1,2,-104	1,1;2,103
204	消灭182800个敌人	1,182800	1,2,3,105	1,1;2,2;3,104
205	消灭183700个敌人	1,183700	-1,2,-105	1,1;2,104
206	消灭184600个敌人	1,184600	1,2,3,106	1,1;2,2;3,105
207	消灭185500个敌人	1,185500	-1,2,-106	1,1;2,105
208	消灭186400个敌人	1,186400	1,2,3,107	1,1;2,2;3,106
209	消灭187300个敌人	1,187300	-1,2,-107	1,1;2,106
210	消灭188200个敌人	1,188200	1,2,3,108	1,1;2,2;3,107
211	消灭189100个敌人	1,189100	-1,2,-108	1,1;2,107
212	消灭190000个敌人	1,190000	1,2,3,109	1,1;2,2;3,108
213	消灭190900个敌人	1,190900	-1,2,-109	1,1;2,108
214	消灭191800个敌人	1,191800	1,2,3,110	1,1;2,2;3,109
215	消灭192700个敌人	1,192700	-1,2,-110	1,1;2,109
216	消灭193600个敌人	1,193600	1,2,3,111	1,1;2,2;3,110
217	消灭194500个敌人	1,194500	-1,2,-111	1,1;2,110
218	消灭195400个敌人	1,195400	1,2,3,112	1,1;2,2;3,111
219	消灭196300个敌人	1,196300	-1,2,-112	1,1;2,111
220	消灭197200个敌人	1,197200	1,2,3,113	1,1;2,2;3,112
221	消灭198100个敌人	1,198100	-1,2,-113	1,1;2,112
222	消灭199000个敌人	1,199000	1,2,3,114	1,1;2,2;3,113
223	消灭199900个敌人	1,199900	-1,2,-114	1,1;2,113
224	消灭200800个敌人	1,200800	1,2,3,115	1,1;2,2;3,114
225	消灭201700个敌人	1,201700	-1,2,-115	1,1;2,114
226	消灭202600个敌人	1,202600	1,2,3,116	1,1;2,2;3,115
227	消灭203500个敌人	1,203500	-1,2,-116	1,1;2,115
228	消灭204400个敌人	1,204400	1,2,3,117	1,1;2,2;3,116
229	消灭205300个敌人	1,205300	-1,2,-117	1,1;2,116
230	消灭206200个敌人	1,206200	1,2,3,118	1,1;2,2;3,117
231	消灭207100个敌人	1,207100	-1,2,-118	1,1;2,117
232	消灭208000个敌人	1,208000	1,2,3,119	1,1;2,2;3,118
233	消灭208900个敌人	1,208900	-1,2,-119	1,1;2,118
234	消灭209800个敌人	1,209800	1,2,3,120	1,1;2,2;3,119
235	消灭210700个敌人	1,210700	-1,2,-120	1,1;2,119
236	消灭211600个敌人	1,211600	1,2,3,121	1,1;2,2;3,120
237	消灭212500个敌人	1,212500	-1,2,-121	1,1;2,120
238	消灭213400个敌人	1,213400	1,2,3,122	1,1;2,2;3,121
239	消灭214300个敌人	1,214300	-1,2,-122	1,1;2,121
240	消灭215200个敌人	1,215200	1,2,3,123	1,1;2,2;3,122
241	消灭216100个敌人	1,216100	-1,2,-123	1,1;2,122
242	消灭217000个敌人	1,217000	1,2,3,124	1,1;2,2;3,123
243	消灭217900个敌人	1,217900	-1,2,-124	1,1;2,123
244	消灭218800个敌人	1,218800	1,2,3,125	1,1;2,2;3,124
245	消灭219700个敌人	1,219700	-1,2,-125	1,1;2,124
246	消灭220600个敌人	1,220600	1,2,3,126	1,1;2,2;3,125
247	消灭221500个敌人	1,221500	-1,2,-126	1,1;2,125
248	消灭222400个敌人	1,222400	1,2,3,127	1,1;2,2;3,126
249	消灭223300个敌人	1,223300	-1,2,-127	1,1;2,126
250	消灭224200个敌人	1,224200	1,2,3,128	1,1;2,2;3,127
251	消灭225100个敌人	1,225100	-1,2,-128	1,1;2,127
252	消灭226000个敌人	1,226000	1,2,3,129	1,1;2,2;3,128
253	消灭226900个敌人	1,226900	-1,2,-129	1,1;2,128
254	消灭227800个敌人	1,227800	1,2,3,130	1,1;2,2;3,129
255	消灭228700个敌人	1,228700	-1,2,-130	1,1;2,129
256	消灭229600个敌人	1,229600	1,2,3,131	1,1;2,2;3,130
257	消灭230500个敌人	1,230500	-1,2,-131	1,1;2,130
258	消灭231400个敌人	1,231400	1,2,3,132	1,1;2,2;3,131
259	消灭232300个敌人	1,232300	-1,2,-132	1,1;2,131
260	消灭233200个敌人	1,233200	1,2,3,133	1,1;2,2;3,132
261	消灭234100个敌人	1,234100	-1,2,-133	1,1;2,132
262	消灭235000个敌人	1,235000	1,2,3,134	1,1;2,2;3,133
263	消灭235900个敌人	1,235900	-1,2,-134	1,1;2,133
264	消灭236800个敌人	1,236800	1,2,3,135	1,1;2,2;3,134
265	消灭237700个敌人	1,237700	-1,2,-135	1,1;2,134
266	消灭238600个敌人	1,238600	1,2,3,136	1,1;2,2;3,135
267	消灭239500个敌人	1,239500	-1,2,-136	1,1;2,135
268	消灭240400个敌人	1,240400	1,2,3,137	1,1;2,2;3,136
269	消灭241300个敌人	1,241300	-1,2,-137	1,1;2,136
270	消灭242200个敌人	1,242200	1,2,3,138	1,1;2,2;3,137
271	消灭243100个敌人	1,243100	-1,2,-138	1,1;2,137
272	消灭244000个敌人	1,244000	1,2,3,139	1,1;2,2;3,138
273	消灭244900个敌人	1,244900	-1,2,-139	1,1;2,138
274	消灭245800个敌人	1,245800	1,2,3,140	1,1;2,2;3,139
275	消灭246700个敌人	1,246700	-1,2,-140	1,1;2,139
276	消灭247600个敌人	1,247600	1,2,3,141	1,1;2,2;3,140
277	消灭248500个敌人	1,248500	-1,2,-141	1,1;2,140
278	消灭249400个敌人	1,249400	1,2,3,142	1,1;2,2;3,141
279	消灭250300个敌人	1,250300	-1,2,-142	1,1;2,141
280	消灭251200个敌人	1,251200	1,2,3,143	1,1;2,2;3,142
281	消灭252100个敌人	1,252100	-1,2,-143	1,1;2,142
282	消灭253000个敌人	1,253000	1,2,3,144	1,1;2,2;3,143
283	消灭253900个敌人	1,253900	-1,2,-144	1,1;2,143
284	消灭254800个敌人	1,254800	1,2,3,145	1,1;2,2;3,144
285	消灭255700个敌人	1,255700	-1,2,-145	1,1;2,144
286	消灭256600个敌人	1,256600	1,2,3,146	1,1;2,2;3,145
287	消灭257500个敌人	1,257500	-1,2,-146	1,1;2,145
288	消灭258400个敌人	1,258400	1,2,3,147	1,1;2,2;3,146
289	消灭259300个敌人	1,259300	-1,2,-147	1,1;2,146
290	消灭260200个敌人	1,260200	1,2,3,148	1,1;2,2;3,147
291	消灭261100个敌人	1,261100	-1,2,-148	1,1;2,147
292	消灭262000个敌人	1,262000	1,2,3,149	1,1;2,2;3,148
293	消灭262900个敌人	1,262900	-1,2,-149	1,1;2,148
294	消灭263800个敌人	1,263800	1,2,3,150	1,1;2,2;3,149
295	消灭264700个敌人	1,264700	-1,2,-150	1,1;2,149
296	消灭265600个敌人	1,265600	1,2,3,151	1,1;2,2;3,150
297	消灭266500个敌人	1,266500	-1,2,-151	1,1;2,150
298	消灭267400个敌人	1,267400	1,2,3,152	1,1;2,2;3,151
299	消灭268300个敌人	1,268300	-1,2,-152	1,1;2,151
300	消灭269200个敌人	1,269200	1,2,3,153	1,1;2,2;3,152
301	消灭270100个敌人	1,270100	-1,2,-153	1,1;2,152
302	消灭271000个敌人	1,271000	1,2,3,154	1,1;2,2;3,153
303	消灭271900个敌人	1,271900	-1,2,-154	1,1;2,153
304	消灭272800个敌人	1,272800	1,2,3,155	1,1;2,2;3,154
305	消灭273700个敌人	1,273700	-1,2,-155	1,1;2,154
306	消灭274600个敌人	1,274600	1,2,3,156	1,1;2,2;3,155
307	消灭275500个敌人	1,275500	-1,2,-156	1,1;2,155
308	消灭276400个敌人	1,276400	1,2,3,157	1,1;2,2;3,156
309	消灭277300个敌人	1,277300	-1,2,-157	1,1;2,156
310	消灭278200个敌人	1,278200	1,2,3,158	1,1;2,2;3,157
311	消灭279100个敌人	1,279100	-1,2,-158	1,1;2,157
312	消灭280000个敌人	1,280000	1,2,3,159	1,1;2,2;3,158
313	消灭280900个敌人	1,280900	-1,2,-159	1,1;2,158
314	消灭281800个敌人	1,281800	1,2,3,160	1,1;2,2;3,159
315	消灭282700个敌人	1,282700	-1,2,-160	1,1;2,159
316	消灭283600个敌人	1,283600	1,2,3,161	1,1;2,2;3,160
317	消灭284500个敌人	1,284500	-1,2,-161	1,1;2,160
318	消灭285400个敌人	1,285400	1,2,3,162	1,1;2,2;3,161
319	消灭286300个敌人	1,286300	-1,2,-162	1,1;2,161
320	消灭287200个敌人	1,287200	1,2,3,163	1,1;2,2;3,162
321	消灭288100个敌人	1,288100	-1,2,-163	1,1;2,162
322	消灭289000个敌人	1,289000	1,2,3,164	1,1;2,2;3,163
323	消灭289900个敌人	1,289900	-1,2,-164	1,1;2,163
324	消灭290800个敌人	1,290800	1,2,3,165	1,1;2,2;3,164
325	消灭291700个敌人	1,291700	-1,2,-165	1,1;2,164
326	消灭292600个敌人	1,292600	1,2,3,166	1,1;2,2;3,165
327	消灭293500个敌人	1,293500	-1,2,-166	1,1;2,165
328	消灭294400个敌人	1,294400	1,2,3,167	1,1;2,2;3,166
329	消灭295300个敌人	1,295300	-1,2,-167	1,1;2,166
330	消灭296200个敌人	1,296200	1,2,3,168	1,1;2,2;3,167
331	消灭297100个敌人	1,297100	-1,2,-168	1,1;2,167
332	消灭298000个敌人	1,298000	1,2,3,169	1,1;2,2;3,168
333	消灭298900个敌人	1,298900	-1,2,-169	1,1;2,168
334	消灭299800个敌人	1,299800	1,2,3,170	1,1;2,2;3,169
335	消灭300700个敌人	1,300700	-1,2,-170	1,1;2,169
336	消灭301600个敌人	1,301600	1,2,3,171	1,1;2,2;3,170
337	消灭302500个敌人	1,302500	-1,2,-171	1,1;2,170
338	消灭303400个敌人	1,303400	1,2,3,172	1,1;2,2;3,171
339	消灭304300个敌人	1,304300	-1,2,-172	1,1;2,171
340	消灭305200个敌人	1,305200	1,2,3,173	1,1;2,2;3,172
341	消灭306100个敌人	1,306100	-1,2,-173	1,1;2,172
342	消灭307000个敌人	1,307000	1,2,3,174	1,1;2,2;3,173
343	消灭307900个敌人	1,307900	-1,2,-174	1,1;2,173
344	消灭308800个敌人	1,308800	1,2,3,175	1,1;2,2;3,174
345	消灭309700个敌人	1,309700	-1,2,-175	1,1;2,174
346	消灭310600个敌人	1,310600	1,2,3,176	1,1;2,2;3,175
347	消灭311500个敌人	1,311500	-1,2,-176	1,1;2,175
348	消灭312400个敌人	1,312400	1,2,3,177	1,1;2,2;3,176
349	消灭313300个敌人	1,313300	-1,2,-177	1,1;2,176
350	消灭314200个敌人	1,314200	1,2,3,178	1,1;2,2;3,177
351	消灭315100个敌人	1,315100	-1,2,-178	1,1;2,177
352	消灭316000个敌人	1,316000	1,2,3,179	1,1;2,2;3,178
353	消灭316900个敌人	1,316900	-1,2,-179	1,1;2,178
354	消灭317800个敌人	1,317800	1,2,3,180	1,1;2,2;3,179
355	消灭318700个敌人	1,318700	-1,2,-180	1,1;2,179
356	消灭319600个敌人	1,319600	1,2,3,181	1,1;2,2;3,180
357	消灭320500个敌人	1,320500	-1,2,-181	1,1;2,180
358	消灭321400个敌人	1,321400	1,2,3,182	1,1;2,2;3,181
359	消灭322300个敌人	1,322300	-1,2,-182	1,1;2,181
360	消灭323200个敌人	1,323200	1,2,3,183	1,1;2,2;3,182
361	消灭324100个敌人	1,324100	-1,2,-183	1,1;2,182
362	消灭325000个敌人	1,325000	1,2,3,184	1,1;2,2;3,183
363	消灭325900个敌人	1,325900	-1,2,-184	1,1;2,183
364	消灭326800个敌人	1,326800	1,2,3,185	1,1;2,2;3,184
365	消灭327700个敌人	1,327700	-1,2,-185	1,1;2,184
366	消灭328600个敌人	1,328600	1,2,3,186	1,1;2,2;3,185
367	消灭329500个敌人	1,329500	-1,2,-186	1,1;2,185
368	消灭330400个敌人	1,330400	1,2,3,187	1,1;2,2;3,186
369	消灭331300个敌人	1,331300	-1,2,-187	1,1;2,186
370	消灭332200个敌人	1,332200	1,2,3,188	1,1;2,2;3,187
371	消灭333100个敌人	1,333100	-1,2,-188	1,1;2,187
372	消灭334000个敌人	1,334000	1,2,3,189	1,1;2,2;3,188
373	消灭334900个敌人	1,334900	-1,2,-189	1,1;2,188
374	消灭335800个敌人	1,335800	1,2,3,190	1,1;2,2;3,189
375	消灭336700个敌人	1,336700	-1,2,-190	1,1;2,189
376	消灭337600个敌人	1,337600	1,2,3,191	1,1;2,2;3,190
377	消灭338500个敌人	1,338500	-1,2,-191	1,1;2,190
378	消灭339400个敌人	1,339400	1,2,3,192	1,1;2,2;3,191
379	消灭340300个敌人	1,340300	-1,2,-192	1,1;2,191
380	消灭341200个敌人	1,341200	1,2,3,193	1,1;2,2;3,192
381	消灭342100个敌人	1,342100	-1,2,-193	1,1;2,192
382	消灭343000个敌人	1,343000	1,2,3,194	1,1;2,2;3,193
383	消灭343900个敌人	1,343900	-1,2,-194	1,1;2,193
384	消灭344800个敌人	1,344800	1,2,3,195	1,1;2,2;3,194
385	消灭345700个敌人	1,345700	-1,2,-195	1,1;2,194
386	消灭346600个敌人	1,346600	1,2,3,196	1,1;2,2;3,195
387	消灭347500个敌人	1,347500	-1,2,-196	1,1;2,195
388	消灭348400个敌人	1,348400	1,2,3,197	1,1;2,2;3,196
389	消灭349300个敌人	1,349300	-1,2,-197	1,1;2,196
390	消灭350200个敌人	1,350200	1,2,3,198	1,1;2,2;3,197
391	消灭351100个敌人	1,351100	-1,2,-198	1,1;2,197
392	消灭352000个敌人	1,352000	1,2,3,199	1,1;2,2;3,198
393	消灭352900个敌人	1,352900	-1,2,-199	1,1;2,198
394	消灭353800个敌人	1,353800	1,2,3,200	1,1;2,2;3,199
395	消灭354700个敌人	1,354700	-1,2,-200	1,1;2,199
396	消灭355600个敌人	1,355600	1,2,3,201	1,1;2,2;3,200
397	消灭356500个敌人	1,356500	-1,2,-201	1,1;2,200
398	消灭357400个敌人	1,357400	1,2,3,202	1,1;2,2;3,201
399	消灭358300个敌人	1,358300	-1,2,-202	1,1;2,201
